"player","team","pos","min","obpm","dbpm","bpm","role"
"Ferland Mendy","Real Madrid","DF",19.1,-0.016,-0.014,-0.03,1
"Arsen Zakharyan","Real Sociedad","MF,FW",13.6,-0.01,-0.022,-0.031,2.33333333333333
"Aihen Muñoz","Real Sociedad","DF",12.5,-0.013,-0.018,-0.031,1
"José Luis García Vayá","Valencia","MF",36.7,-0.05,0.019,-0.031,2
"Mikel Vesga","Athletic Club","MF",17,-0.051,0.019,-0.032,2
"Ander Guevara","Alaves","MF",32.6,-0.073,0.04,-0.032,2
"Francisco Perez","Valencia","MF,FW",22.8,-0.03,-0.003,-0.033,2.33333333333333
"Aimar Oroz","Osasuna","MF",26,-0.022,-0.01,-0.033,2
"Manu Sánchez","Celta Vigo","DF,MF",19.7,0.009,-0.042,-0.033,1.33333333333333
"Dani Rodríguez","Mallorca","MF",29.1,-0.047,0.014,-0.033,2
"César Azpilicueta","Atletico Madrid","DF",15.8,-0.022,-0.012,-0.034,1
"Iván Martín","Girona","MF",30.3,-0.006,-0.03,-0.036,2
"Antonio Sánchez","Mallorca","MF",16.1,-0.027,-0.009,-0.037,2
"Pablo Maffeo","Mallorca","DF",16.2,0.005,-0.041,-0.037,1
"Unai López","Rayo Vallecano","MF",23.4,-0.052,0.014,-0.038,2
"Luka Modrić","Real Madrid","MF",18.8,-0.047,0.007,-0.039,2
