"player","team","pos","min","obpm","dbpm","bpm","role"
"Axel Disasi","Chelsea","DF",28.7,0.025,0.101,0.126,1
"Bruno Guimarães","Newcastle United","MF",36.3,0.074,0.051,0.125,2
"Sean Longstaff","Newcastle United","MF",30.5,0.099,0.025,0.125,2
"Callum Hudson-Odoi","Nottingham Forest","FW,MF",20.6,0.111,0.013,0.124,2.66666666666667
"Auston Trusty","Sheffield United","DF",28.6,0.025,0.099,0.124,1
"Sven Botman","Newcastle United","DF",15.3,0.016,0.107,0.123,1
"Diego Carlos","Aston Villa","DF",20.2,0,0.122,0.122,1
"Conor Gallagher","Chelsea","MF",34.8,0.087,0.035,0.122,2
"Tomáš Souček","West Ham United","MF",31.9,0.07,0.051,0.121,2
"Ryan Yates","Nottingham Forest","MF",22.1,0.055,0.066,0.121,2
"Bernardo Silva","Manchester City","MF,FW",28.6,0.057,0.061,0.119,2.33333333333333
"Jean-Philippe Mateta","Crystal Palace","FW",25.4,0.118,0.001,0.119,3
"Carlton Morris","Luton Town","FW,MF",31.8,0.138,-0.019,0.118,2.66666666666667
"Brennan Johnson","Tottenham Hotspur","FW",23.2,0.145,-0.03,0.115,3
"Jarrad Branthwaite","Everton","DF",34.6,0.002,0.113,0.115,1
"Rúben Dias","Manchester City","DF",28.4,-0.012,0.126,0.114,1
"Joachim Andersen","Crystal Palace","DF",37.9,0.009,0.104,0.113,1
"Jayden Bogle","Sheffield United","DF",31,0.067,0.046,0.113,1
"Odsonne Édouard","Crystal Palace","FW,MF",17.3,0.145,-0.033,0.112,2.66666666666667
"Joško Gvardiol","Manchester City","DF",25.9,0.017,0.092,0.109,1
"Marcus Rashford","Manchester United","FW",25.2,0.141,-0.035,0.107,3
"Dominik Szoboszlai","Liverpool","MF",23.4,0.073,0.031,0.104,2
"Ryan Christie","Bournemouth","MF",32.3,0.049,0.055,0.104,2
"Enzo Fernández","Chelsea","MF",24.5,0.074,0.028,0.102,2
"Ivan Toney","Brentford","FW",16.1,0.145,-0.044,0.101,3
"Bryan Mbeumo","Brentford","FW",21.8,0.122,-0.021,0.1,3
"Keane Lewis-Potter","Brentford","FW,DF",16,0.139,-0.039,0.1,2.33333333333333
"Moisés Caicedo","Chelsea","MF",31.8,0.01,0.088,0.098,2
"Zeki Amdouni","Burnley","FW",21.7,0.11,-0.012,0.098,3
"Matty Cash","Aston Villa","DF",23.8,0.055,0.04,0.095,1
"James Maddison","Tottenham Hotspur","MF",23.7,0.112,-0.017,0.095,2
"Scott McTominay","Manchester United","MF,FW",21.1,0.091,0.004,0.095,2.33333333333333
"Pedro Porro","Tottenham Hotspur","DF",34.3,0.038,0.056,0.094,1
"Marcus Tavernier","Bournemouth","FW",23.5,0.099,-0.005,0.094,3
"Vinicius Souza","Sheffield United","MF",29.6,0.036,0.058,0.094,2
"Pascal Groß","Brighton & Hove Albion","MF,DF",34.6,0.039,0.054,0.093,1.66666666666667
"Douglas Luiz","Aston Villa","MF",33.3,0.045,0.043,0.089,2
"Sam Johnstone","Crystal Palace","GK",20,-0.066,0.156,0.089,0
"Eddie Nketiah","Arsenal","FW",12,0.115,-0.027,0.088,3
"Nick Pope","Newcastle United","GK",14.9,-0.038,0.126,0.088,0
"Callum Wilson","Newcastle United","FW",11,0.191,-0.103,0.088,3
"Gustavo Hamer","Sheffield United","MF",32.3,0.062,0.026,0.088,2
"Miguel Almirón","Newcastle United","FW",21.5,0.1,-0.013,0.087,3
"Kaoru Mitoma","Brighton & Hove Albion","FW",16.5,0.132,-0.045,0.087,3
"Kurt Zouma","West Ham United","DF",31.5,0.019,0.067,0.086,1
"Matz Sels","Nottingham Forest","GK",16,-0.036,0.122,0.086,0
"Vitaly Janelt","Brentford","MF,DF",33.9,0.032,0.053,0.085,1.66666666666667
"Harry Maguire","Manchester United","DF",18.4,-0.003,0.086,0.084,1
"Manuel Akanji","Manchester City","DF,MF",27.9,-0.031,0.112,0.082,1.33333333333333
"Jordan Ayew","Crystal Palace","FW,MF",28.3,0.073,0.009,0.082,2.66666666666667
"Trent Alexander-Arnold","Liverpool","DF",23.9,0.009,0.072,0.081,1
